"","Entidad","distrito","Clave Federal","Porcentaje Población Estatal","Porcentaje Población 60+","Densidad de Población (km²)","Estimador Viviendas Particulares","Población Autoadscrita Indígena","Población Aut. Afrodescendiente","Índice Étnico","Aprox. Distancia Mínima","ANP Cercana"
"65",9,23,923,0.04177155452,0.1674773048,10043.68428,114190,0.08961846322,0.02485599094,0.207195218429246,0.0105075486686832,37
"66",9,24,924,0.04355007421,0.1744402793,6800.248209,113193,0.09330909765,0.02454120409,0.212503051457347,0.0248412615459481,22
"67",10,1,1001,0.2478985658,0.08614922724,8.439259676,105735,0.1380893377,0.00012413765,0.238255305335094,0.794888890961379,75
"68",10,2,1002,0.2485915405,0.1056790542,11.72171955,117652,0.06858742323,0.00011920673,0.127988410083964,0.757983877222365,72
"69",10,3,1003,0.2397538344,0.1185284841,13.28999516,109627,0.04886275311,7.843902e-05,0.0930995691787259,0.651449179490415,91
"70",10,4,1004,0.2637560593,0.09593217336,196.320586,122975,0.06236023395,0.00011019236,0.117149487535992,0.477419660002726,91
"71",11,1,1101,0.06153585174,0.09194055706,53.10917837,82805,0.1498316265,0.00011382218,0.254957730525029,0.201515193432893,94
"72",11,2,1102,0.06932633967,0.09346400075,141.4610508,96158,0.09635448752,0.00012813752,0.174372149460925,0.249114809413438,24
"73",11,3,1103,0.06451517568,0.07854871297,1231.911346,95787,0.07791320558,0.00070435402,0.144983434804204,0.591699452194202,181
"74",11,4,1104,0.06128062754,0.0965998266,59.63275702,86688,0.09424142151,0.00023138017,0.171138994037723,0.30232417979444,181
