"","ï..CVE_FED","CVE_ENT","distrito","MI","Indigena","Complejidad","IND_002","IND_002_LI","IND_002_LS","IND_002_EE","IND_002_CV","IND_824","IND_824_LI","IND_824_LS","IND_824_EE","IND_824_CV","IND_047","IND_047_LI","IND_047_LS","IND_047_EE","IND_047_CV","IND_055","IND_055_LI","IND_055_LS","IND_055_EE","IND_055_CV","IND_141","IND_141_LI","IND_141_LS","IND_141_EE","IND_141_CV","IND_128","IND_128_LI","IND_128_LS","IND_128_EE","IND_128_CV","Ethnic","ANP_Cercana","dist_min","c_ANPCercana","c_distmin"
"34",710,7,10,"","NO","Muy dispersos 1",7.470810141,7.248359399,7.699521131,0.137121293,1.83542736,10.12518598,9.844899114,10.41253106,0.172525228,1.703921574,30.84938498,29.98137863,31.71739134,0.527680011,1.710504153,98117,95398.81098,100835.189,1652.446438,1.684159155,8.723769945,7.800297387,9.745016339,0.590354983,6.767200269,0.017957006,0.009977052,0.032317509,0.00641524,35.7255539,91.25827305,127,1017577.969,111,30825.5460183219
"35",711,7,11,"","SI","Dispersos 2",6.659757129,6.387312185,6.942961077,0.168860313,2.5355326,6.593381295,6.397597708,6.794721452,0.120696916,1.83057692,52.0230013,49.86083554,54.18516706,1.314427762,2.526628086,71619,68654.04359,74583.95641,1802.461723,2.516736792,69.24028777,67.31509147,71.10076967,1.15111958,1.662499705,0.001726619,0.000801272,0.00372056,0.000805832,46.67112488,30.75798561,62,1187859.876,62,42228.1991083097
"36",712,7,12,"","NO","Concentracion Media",8.385832023,7.730978708,9.090689698,0.413008961,4.925080303,9.420314696,9.018351683,9.838256517,0.249172267,2.64505248,383.346981,350.3781688,416.3157931,20.04246057,5.228281835,114401,104442.8702,124359.1298,6053.764469,5.291705902,7.412384446,6.575870476,8.345804939,0.537118766,7.246234596,0.082273491,0.044390093,0.152438037,0.030854966,37.50292585,92.50534206,105,1309982.63,105,34082.1701122616
"37",713,7,13,"","NO","Muy dispersos 1",7.645765314,7.123873599,8.202513916,0.327681135,4.285785947,9.642836553,9.358255132,9.935123443,0.175330141,1.818242382,85.92643221,79.63282356,92.22004087,3.826022083,4.452671878,91204,84235.05869,98172.94131,4236.571542,4.645159798,9.499961148,7.622001,11.78161386,1.258496409,13.2473848,0.170447852,0.049904491,0.580470432,0.127184975,74.61811581,90.329591,130,1230537.637,105,39444.4295836182
"38",801,8,1,"","NO","Altamente concentrado 2",11.94725598,10.17455698,13.98073865,1.154596573,9.664115129,3.88267716,3.36780368,4.472621759,0.334869314,8.624701477,3408.198726,2819.501653,3996.8958,357.8728336,10.50035113,116623,96830.00008,136415.9999,12032.29519,10.31725748,7.526952576,6.277266289,9.001533247,0.825010666,10.96075282,0.215338199,0.139215258,0.332946405,0.057076127,26.50534239,92.25770923,74,14259.96481,74,35730.3149870486
"39",802,8,2,"*","NO","Muy dispersos 1",11.09626849,9.998903584,12.29761163,0.698057424,6.290920454,6.904651499,6.38875662,7.458885771,0.325039068,4.707537644,6.130497303,5.476714486,6.78428012,0.397438886,6.482979545,110991,99864.86052,122117.1395,6763.653568,6.09387569,9.452244664,8.433999401,10.57922036,0.651220737,6.889588237,0.21436879,0.140503873,0.326938428,0.055031951,25.67162475,90.33338655,17,0,74,95023.3135521538
"40",803,8,3,"","NO","Concentrados 1",10.46315921,9.364011416,11.67470634,0.701567354,6.70511974,8.145271814,7.477138202,8.867385881,0.422236282,5.18382065,320.2718158,284.0123001,356.5313316,22.04239877,6.882403534,101096,89953.07942,112238.9206,6773.854913,6.700418328,5.881009325,4.945154801,6.980964261,0.616489146,10.48270989,0.016660844,0.008369879,0.033161881,0.006972178,41.84768736,94.10232983,74,6799.747072,74,45748.7539805244
"41",804,8,4,"","NO","Altamente concentrado 2",10.40110511,9.120362093,11.83827082,0.824834964,7.930262748,12.43880483,11.28620338,13.69094976,0.730417995,5.872091454,3347.28249,2891.649824,3802.915156,276.9821027,8.274834989,115625,99730.44429,131519.5557,9662.405246,8.356674807,6.119922254,4.937784908,7.562556247,0.793343322,12.96329085,0.111104203,0.070176046,0.175860521,0.031025638,27.92481078,93.76897354,74,29450.78634,74,48763.6103478107
"42",805,8,5,"","NO","Muy dispersos 1",11.73868448,11.31514115,12.17590504,0.261603566,2.228559487,11.4983413,11.03895765,11.9742689,0.284251996,2.472113051,5.93156438,5.776984735,6.086144026,0.093969986,1.584236131,123970,120910.6971,127029.3029,1859.770394,1.50017778,7.653744356,7.105906059,8.240072378,0.344521036,4.501339742,0.020838573,0.011384876,0.038139373,0.007657603,36.74725418,92.32541707,10,0,10,116582.11356648
"43",806,8,6,"","NO","Concentrados 2",12.26871703,11.10032533,13.54135782,0.741398829,6.043002108,11.43198288,10.33105093,12.6337063,0.699309975,6.117136306,71.04576685,63.67112802,78.42040569,4.483091585,6.310145957,134199,120925.6674,147472.3326,8068.946459,6.012672568,4.825528365,4.054484041,5.734439039,0.508590695,10.53958566,0.022917593,0.010054323,0.05222924,0.011477566,50.08189854,95.15155404,32,0,32,46851.1929088809
